Fixation,Trial Name,Eye,Start Time,End Time,Duration,X,Y,Pupil Area,,,
Saccade,Trial Name,Eye,Start Time,End Time,Duration,Start X,Start Y,End X,End Y,Amplitude,Peak Velocity
Fixation,DadsArmy,L,3079324,3079496,173,813.1,608.4,2189,,,
Saccade,DadsArmy,L,3079497,3079526,30,815.1,607.8,719.1,513.9,3.29,229
Fixation,DadsArmy,L,3079527,3080082,556,732.8,510.4,2247,,,
Saccade,DadsArmy,L,3080083,3080251,169,732.6,503.9,647,382.6,3.63,838
Fixation,DadsArmy,L,3080252,3080363,112,651.1,354.6,2492,,,
Saccade,DadsArmy,L,3080364,3080372,9,650.1,339.1,649.9,326.3,0.31,41
Fixation,DadsArmy,L,3080373,3080603,231,656.6,309.8,2590,,,
Saccade,DadsArmy,L,3080604,3080630,27,661.2,309,600.8,355.3,1.86,169
Fixation,DadsArmy,L,3080631,3081464,834,595.6,335,2873,,,
Saccade,DadsArmy,L,3081465,3081611,147,597.1,324,555.5,416.9,2.48,945
Fixation,DadsArmy,L,3081612,3081986,375,567.3,324,3039,,,
Saccade,DadsArmy,L,3081987,3082165,179,546.3,322.7,533.7,329.9,0.35,1033
Fixation,DadsArmy,L,3082166,3083151,986,538.3,316.4,3166,,,
Saccade,DadsArmy,L,3083152,3083176,25,567.4,313.5,643.1,331.3,1.9,155
Fixation,DadsArmy,L,3083177,3083525,349,636.6,318.5,3329,,,
Saccade,DadsArmy,L,3083526,3083699,174,652.3,308.1,697.4,290.2,1.19,999
Fixation,DadsArmy,L,3083700,3084008,309,703.9,284,3385,,,
Saccade,DadsArmy,L,3084009,3084201,193,705.4,295.8,640.9,283.7,1.6,1026
Fixation,DadsArmy,L,3084202,3084356,155,645.5,272.6,3429,,,
Saccade,DadsArmy,L,3084357,3084406,50,647.5,281.8,586.7,429.3,3.89,244
Fixation,DadsArmy,L,3084407,3084649,243,577.1,450.9,3387,,,
Saccade,DadsArmy,L,3084650,3084692,43,577.5,450.7,360.5,299.8,6.36,297
Fixation,DadsArmy,L,3084693,3085037,345,343.2,306.4,3347,,,
Saccade,DadsArmy,L,3085038,3085833,796,350.3,990.4,545.5,353.5,15.7,1709
Fixation,DadsArmy,L,3085834,3086019,186,571.5,279.1,3495,,,
Saccade,DadsArmy,L,3086020,3086092,73,577.9,271.8,309.1,299.8,6.46,317
Fixation,DadsArmy,L,3086093,3086252,160,343.9,302.9,3380,,,
