Fixation,Trial Name,Eye,Start Time,End Time,Duration,X,Y,Pupil Area,,,
Saccade,Trial Name,Eye,Start Time,End Time,Duration,Start X,Start Y,End X,End Y,Amplitude,Peak Velocity
Fixation,DadsArmy,R,5736566,5737222,660,805.6,608,1578,,,
Saccade,DadsArmy,R,5737226,5737242,20,800.7,602.3,734.6,601.1,1.62,131
Fixation,DadsArmy,R,5737246,5737490,248,715.6,594.4,1627,,,
Saccade,DadsArmy,R,5737494,5737526,36,712.5,592,684.3,409,4.52,218
Fixation,DadsArmy,R,5737530,5737742,216,677.2,412.3,1646,,,
Saccade,DadsArmy,R,5737746,5737754,12,679.4,403.8,668.8,378.3,0.68,85
Fixation,DadsArmy,R,5737758,5738106,352,658.5,374.5,1679,,,
Saccade,DadsArmy,R,5738110,5738114,8,632.4,375.7,620.8,379.6,0.3,59
Fixation,DadsArmy,R,5738118,5738878,764,599.6,379.7,1775,,,
Saccade,DadsArmy,R,5738882,5738890,12,610.9,368.6,589.2,374.5,0.55,69
Fixation,DadsArmy,R,5738894,5739114,224,594.8,366.8,1851,,,
Saccade,DadsArmy,R,5739118,5739130,16,583,361.5,534.6,353.3,1.19,113
Fixation,DadsArmy,R,5739134,5739762,632,472.3,358,1934,,,
Saccade,DadsArmy,R,5739766,5739818,56,444.9,356.6,513.8,829.8,11.44,346
Fixation,DadsArmy,R,5739822,5739994,176,513,835.2,2076,,,
Saccade,DadsArmy,R,5739998,5740022,28,516,839.2,533.9,995.4,3.67,244
Fixation,DadsArmy,R,5740026,5740290,268,533.7,1008.4,2059,,,
Saccade,DadsArmy,R,5740294,5740346,56,533.6,1015.5,624.7,427,14.12,445
Fixation,DadsArmy,R,5740350,5740694,348,618.4,401.5,1826,,,
Saccade,DadsArmy,R,5740698,5740718,24,627.2,391.7,640.2,369.3,0.63,83
Fixation,DadsArmy,R,5740722,5741570,852,684.8,366.7,1786,,,
Saccade,DadsArmy,R,5741574,5741610,40,691.4,362.7,419.8,284.5,6.84,243
Fixation,DadsArmy,R,5741614,5741950,340,375.1,275.5,1903,,,
Saccade,DadsArmy,R,5741954,5741962,12,362,269.7,339.4,260.3,0.58,72
Fixation,DadsArmy,R,5741966,5742926,964,341.3,258.4,1996,,,
Saccade,DadsArmy,R,5742930,5743010,84,357.9,268.7,1189.5,386.4,20,349
Fixation,DadsArmy,R,5743014,5743306,296,1201.4,395.8,1934,,,
Saccade,DadsArmy,R,5743310,5743350,44,1218.4,397.2,1473.6,335.8,6.11,235
Fixation,DadsArmy,R,5743354,5743490,140,1482.2,339.7,1826,,,
Saccade,DadsArmy,R,5743494,5743626,136,1490.7,342,397.1,236.8,25.47,795
Fixation,DadsArmy,R,5743630,5743902,276,414.3,286.8,2057,,,
Saccade,DadsArmy,R,5743906,5743926,24,433.7,290.3,494.9,299.5,1.49,158
Fixation,DadsArmy,R,5743930,5744266,340,506.6,298.2,2092,,,
Saccade,DadsArmy,R,5744270,5744290,24,557.6,294.8,603.6,308.4,1.17,127
