Fixation,Trial Name,Eye,Start Time,End Time,Duration,X,Y,Pupil Area,,,
Saccade,Trial Name,Eye,Start Time,End Time,Duration,Start X,Start Y,End X,End Y,Amplitude,Peak Velocity
Fixation,DadsArmy,L,12936322,12936604,283,772.5,601.9,1783,,,
Saccade,DadsArmy,L,12936605,12936622,18,774.8,605.7,799.7,606.2,0.61,65
Fixation,DadsArmy,L,12936623,12936796,174,794.5,605.4,1744,,,
Saccade,DadsArmy,L,12936797,12936819,23,794.8,602.8,759.6,535.6,1.85,110
Fixation,DadsArmy,L,12936820,12936993,174,745,514.3,1683,,,
Saccade,DadsArmy,L,12936994,12937032,39,743.1,516.8,629.8,663.5,4.52,222
Fixation,DadsArmy,L,12937033,12937289,257,626,670.3,1755,,,
Saccade,DadsArmy,L,12937290,12937332,43,618.7,667.7,621.9,472.4,4.75,173
Fixation,DadsArmy,L,12937333,12937573,241,625.7,431.4,1893,,,
Saccade,DadsArmy,L,12937574,12937588,15,629.7,421,621.4,384.6,0.91,73
Fixation,DadsArmy,L,12937589,12937841,253,614.5,383.1,2009,,,
Saccade,DadsArmy,L,12937842,12937855,14,602.5,384.2,578.3,412.5,0.91,83
Fixation,DadsArmy,L,12937856,12938735,880,573.3,404.7,2169,,,
Saccade,DadsArmy,L,12938736,12938750,15,586.7,388,542.3,393.6,1.09,103
Fixation,DadsArmy,L,12938751,12939177,427,508.2,395.4,2281,,,
Saccade,DadsArmy,L,12939178,12939201,24,485,396.4,599.8,378.9,2.82,185
Fixation,DadsArmy,L,12939202,12940005,804,619.8,382.4,2393,,,
Saccade,DadsArmy,L,12940006,12940023,18,644.1,385.6,662.6,418,0.91,79
Fixation,DadsArmy,L,12940024,12940182,159,663.2,418.9,2485,,,
Saccade,DadsArmy,L,12940183,12940197,15,662.9,417.3,618.4,401.8,1.15,104
Fixation,DadsArmy,L,12940198,12940479,282,628.9,404.7,2520,,,
Saccade,DadsArmy,L,12940480,12940495,16,643.8,405.2,660.8,394.7,0.49,65
Fixation,DadsArmy,L,12940496,12940726,231,676.4,395.7,2560,,,
Saccade,DadsArmy,L,12940727,12940745,19,693.1,390.5,702.3,381.2,0.32,61
Fixation,DadsArmy,L,12940746,12940844,99,704.4,382.5,2567,,,
Saccade,DadsArmy,L,12940845,12940901,57,703.8,381.7,373.2,329.2,8.08,198
Fixation,DadsArmy,L,12940902,12941209,308,370.6,329,2541,,,
Saccade,DadsArmy,L,12941210,12941223,14,367.6,327.1,327.8,329.3,0.94,87
Fixation,DadsArmy,L,12941224,12941614,391,345.1,328.7,2525,,,
Saccade,DadsArmy,L,12941615,12941625,11,354.1,325.1,333.5,310.9,0.59,61
Fixation,DadsArmy,L,12941626,12942081,456,337,309.7,2585,,,
Saccade,DadsArmy,L,12942082,12942095,14,341.9,308.4,376.5,309.7,0.82,74
Fixation,DadsArmy,L,12942096,12942378,283,374,315.8,2642,,,
Saccade,DadsArmy,L,12942379,12942393,15,377.5,318.5,338.5,327.1,0.95,89
Fixation,DadsArmy,L,12942394,12942748,355,357.6,331.7,2683,,,
Saccade,DadsArmy,L,12942749,12942860,112,366.7,335.5,1341.8,412.5,23.02,291
Fixation,DadsArmy,L,12942861,12943121,261,1338.5,419.1,2510,,,
Saccade,DadsArmy,L,12943122,12943210,89,1351.4,419.9,528.4,381.5,19.57,312
Fixation,DadsArmy,L,12943211,12943428,218,533.2,387.7,2655,,,
Saccade,DadsArmy,L,12943429,12943447,19,540,393.2,478.2,380.8,1.52,138
Fixation,DadsArmy,L,12943448,12943631,184,499.4,373.2,2655,,,
Saccade,DadsArmy,L,12943632,12943645,14,511.3,368.8,473.1,359,0.95,93
Fixation,DadsArmy,L,12943646,12943873,228,482,358.6,2688,,,
Saccade,DadsArmy,L,12943874,12943889,16,496.7,354.2,542.4,347.6,1.12,98
Fixation,DadsArmy,L,12943890,12944093,204,568.5,348.6,2696,,,
Saccade,DadsArmy,L,12944094,12944112,19,605.6,346.7,651.6,364.8,1.21,111
Fixation,DadsArmy,L,12944113,12944304,192,682.4,367.5,2687,,,
