Fixation,Trial Name,Eye,Start Time,End Time,Duration,X,Y,Pupil Area,,,
Saccade,Trial Name,Eye,Start Time,End Time,Duration,Start X,Start Y,End X,End Y,Amplitude,Peak Velocity
Fixation,DadsArmy,L,1589991,1590718,728,772.7,575.1,797,,,
Saccade,DadsArmy,L,1590719,1590756,38,770.1,583.3,735.1,472.1,2.85,186
Fixation,DadsArmy,L,1590757,1591033,277,732.2,486,786,,,
Saccade,DadsArmy,L,1591034,1591055,22,733.4,482.8,643.2,460.1,2.28,196
Fixation,DadsArmy,L,1591056,1591217,162,654.1,461.5,797,,,
Saccade,DadsArmy,L,1591218,1591238,21,659.8,458.2,658.7,393.7,1.58,133
Fixation,DadsArmy,L,1591239,1591907,669,639.5,391.3,809,,,
Saccade,DadsArmy,L,1591908,1592066,159,618.6,388.4,599.8,404.3,0.6,1007
Fixation,DadsArmy,L,1592067,1592533,467,603.2,394.8,825,,,
Saccade,DadsArmy,L,1592534,1592555,22,585.9,379.4,517,350.2,1.82,157
Fixation,DadsArmy,L,1592556,1593006,451,506.1,373.6,804,,,
Saccade,DadsArmy,L,1593007,1593059,53,499.1,380.6,524.5,937.1,13.25,428
Fixation,DadsArmy,L,1593060,1593384,325,501.1,929.2,832,,,
Saccade,DadsArmy,L,1593385,1593421,37,496.5,929.7,261.4,911.3,5.5,262
Fixation,DadsArmy,L,1593422,1593593,172,254.5,904.6,856,,,
Saccade,DadsArmy,L,1593594,1593655,62,249.2,897.7,637.6,356.6,15.76,466
Fixation,DadsArmy,L,1593656,1593984,329,641.6,359.3,836,,,
Saccade,DadsArmy,L,1593985,1594006,22,643.1,356.3,686.5,402.4,1.55,112
Fixation,DadsArmy,L,1594007,1594487,481,694.4,392.7,831,,,
Saccade,DadsArmy,L,1594488,1594505,18,706.2,385.4,742.3,355.1,1.15,98
Fixation,DadsArmy,L,1594506,1595153,648,715.7,361.8,798,,,
Saccade,DadsArmy,L,1595154,1595184,31,695.1,364,843.3,336.9,3.7,237
Fixation,DadsArmy,L,1595185,1595744,560,873.3,338.4,769,,,
Saccade,DadsArmy,L,1595745,1595769,25,954.5,351.4,1054.1,350.4,2.43,178
Fixation,DadsArmy,L,1595770,1596101,332,1102.2,349.9,749,,,
Saccade,DadsArmy,L,1596102,1596159,58,1163.5,366.1,715.8,339.8,10.87,405
Fixation,DadsArmy,L,1596160,1596478,319,722.9,338.7,763,,,
Saccade,DadsArmy,L,1596479,1596510,32,742.2,340.6,649.6,381.3,2.48,254
Fixation,DadsArmy,L,1596511,1596732,222,639.1,379.9,769,,,
Saccade,DadsArmy,L,1596733,1596771,39,635.3,377.9,356,339.8,6.79,337
Fixation,DadsArmy,L,1596772,1597001,230,374.6,338.9,770,,,
Saccade,DadsArmy,L,1597002,1597023,22,396,339.8,473.9,344.5,1.87,163
Fixation,DadsArmy,L,1597024,1597872,849,555.6,344.3,783,,,
Saccade,DadsArmy,L,1597873,1597895,23,704.7,344.3,773.1,341.2,1.68,126
Fixation,DadsArmy,L,1597896,1598387,492,846.8,338.5,808,,,
Saccade,DadsArmy,L,1598388,1598403,16,913.1,345.5,947.8,351.8,0.86,81
Fixation,DadsArmy,L,1598404,1598608,205,956,349.9,810,,,
Saccade,DadsArmy,L,1598609,1598751,143,987.2,351.6,1012.8,355.9,0.63,765
Fixation,DadsArmy,L,1598752,1598919,168,1016.5,352.5,805,,,
Saccade,DadsArmy,L,1598920,1598942,23,1017.7,349.5,935,319.2,2.15,186
Fixation,DadsArmy,L,1598943,1599246,304,940.3,322,804,,,
Saccade,DadsArmy,L,1599247,1599264,18,939.9,318,925.6,295.3,0.65,77
Fixation,DadsArmy,L,1599265,1600122,858,920,320.8,774,,,
Saccade,DadsArmy,L,1600123,1600351,229,931.7,358.8,967.2,747.7,9.47,869
Fixation,DadsArmy,L,1600352,1600490,139,962.4,732.4,810,,,
Saccade,DadsArmy,L,1600491,1600523,33,959.5,733.9,993.5,577.2,3.88,238
Fixation,DadsArmy,L,1600524,1600673,150,977.1,591.3,822,,,
Saccade,DadsArmy,L,1600674,1600733,60,972.5,599.7,517.8,399.7,12.07,414
Fixation,DadsArmy,L,1600734,1600942,209,508.2,400.4,827,,,
Saccade,DadsArmy,L,1600943,1600964,22,511.7,398.3,506.8,330.9,1.64,127
Fixation,DadsArmy,L,1600965,1601201,237,508.7,340.1,826,,,
Saccade,DadsArmy,L,1601202,1601487,286,509.1,341.5,975.4,856.8,16.71,1254
Fixation,DadsArmy,L,1601488,1601725,238,973.2,839.3,842,,,
Saccade,DadsArmy,L,1601726,1601772,47,968.8,828.1,1148,756.8,4.62,313
Fixation,DadsArmy,L,1601773,1602042,270,1167.4,736.3,829,,,
Saccade,DadsArmy,L,1602043,1602081,39,1184.4,723,1278.6,674.6,2.5,206
Fixation,DadsArmy,L,1602082,1602246,165,1288.8,674,834,,,
Saccade,DadsArmy,L,1602247,1602285,39,1290.4,677.9,1139.1,907.7,6.47,428
Fixation,DadsArmy,L,1602286,1602441,156,1117,899,850,,,
Saccade,DadsArmy,L,1602442,1602462,21,1109.4,897.7,1153.8,857.8,1.41,126
Fixation,DadsArmy,L,1602463,1602637,175,1147,864.7,820,,,
Saccade,DadsArmy,L,1602638,1602692,55,1153.2,865.3,700.2,452.5,14.72,482
Fixation,DadsArmy,L,1602693,1603009,317,676.6,431,830,,,
Saccade,DadsArmy,L,1603010,1603028,19,667.2,420.7,721.6,412.6,1.35,122
Fixation,DadsArmy,L,1603029,1603649,621,736.4,420.5,856,,,
Saccade,DadsArmy,L,1603650,1603672,23,767.2,425.3,821.9,473.8,1.79,150
Fixation,DadsArmy,L,1603673,1603872,200,811.4,473.9,862,,,
Saccade,DadsArmy,L,1603873,1603927,55,808.3,475.6,1147.4,762.5,10.74,438
Fixation,DadsArmy,L,1603928,1604098,171,1152.9,774.1,836,,,
Saccade,DadsArmy,L,1604099,1604125,27,1152.9,776.6,1226.7,863.3,2.68,228
Fixation,DadsArmy,L,1604126,1604477,352,1218.6,848.7,826,,,
Saccade,DadsArmy,L,1604478,1604544,67,1217.8,840.3,714.1,367.9,16.55,485
Fixation,DadsArmy,L,1604545,1604790,246,730.5,364.8,836,,,
Saccade,DadsArmy,L,1604791,1604813,23,754.4,378,812.1,417.6,1.72,162
Fixation,DadsArmy,L,1604814,1605498,685,799.9,415.2,813,,,
Saccade,DadsArmy,L,1605499,1605516,18,779.4,401.4,743.5,376.8,1.07,98
Fixation,DadsArmy,L,1605517,1605811,295,730.8,360.2,818,,,
Saccade,DadsArmy,L,1605812,1605834,23,711.5,344.1,633.7,320,1.99,165
Fixation,DadsArmy,L,1605835,1606259,425,630.5,299.3,827,,,
Saccade,DadsArmy,L,1606260,1606274,15,640.8,292.5,682.5,282.2,1.05,92
Fixation,DadsArmy,L,1606275,1606720,446,710.6,279.2,817,,,
Saccade,DadsArmy,L,1606721,1606736,16,737.9,267.8,744.6,227.3,1,73
Fixation,DadsArmy,L,1606737,1607083,347,752,235.4,822,,,
Saccade,DadsArmy,L,1607084,1607100,17,758.8,244.5,801.7,245.5,1.05,94
Fixation,DadsArmy,L,1607101,1607896,796,772.3,247.8,832,,,
Saccade,DadsArmy,L,1607897,1607957,61,738.7,272.2,1108.5,778.6,15.14,489
Fixation,DadsArmy,L,1607958,1608650,693,1116,780.4,884,,,
Saccade,DadsArmy,L,1608651,1608709,59,1126.2,774.9,756.2,374.6,13.17,424
Fixation,DadsArmy,L,1608710,1608859,150,753.2,374.2,871,,,
Saccade,DadsArmy,L,1608860,1608902,43,750.2,373.5,400.6,369.2,8.47,378
Fixation,DadsArmy,L,1608903,1609230,328,423.8,357.2,842,,,
Saccade,DadsArmy,L,1609231,1609246,16,430.1,350.9,464.4,346,0.83,75
Fixation,DadsArmy,L,1609247,1609755,509,433.2,342.8,815,,,
Saccade,DadsArmy,L,1609756,1609775,20,405.4,337.6,369.8,337.4,0.85,99
Fixation,DadsArmy,L,1609776,1610243,468,369.7,334.2,809,,,
Saccade,DadsArmy,L,1610244,1610289,46,364.7,332.7,570.5,314.4,4.97,338
Fixation,DadsArmy,L,1610290,1611021,732,576.7,313.8,800,,,
Saccade,DadsArmy,L,1611022,1611043,22,568,306.8,536.1,316.3,0.81,99
Fixation,DadsArmy,L,1611044,1612190,1147,612.8,297.8,833,,,
Saccade,DadsArmy,L,1612191,1612795,605,627,303.6,498.2,402.3,3.94,2546
Fixation,DadsArmy,L,1612796,1613010,215,449.6,391.7,791,,,
Saccade,DadsArmy,L,1613011,1613026,16,439,394.5,478.6,382.4,1,103
Fixation,DadsArmy,L,1613027,1613488,462,464,398.4,813,,,
Saccade,DadsArmy,L,1613489,1613536,48,462,396.9,623.4,314.1,4.4,276
Fixation,DadsArmy,L,1613537,1613784,248,637.9,304.5,809,,,
Saccade,DadsArmy,L,1613785,1613799,15,644.7,299.8,607.8,311.2,0.94,84
Fixation,DadsArmy,L,1613800,1614211,412,631,313,819,,,
Saccade,DadsArmy,L,1614212,1614244,33,638.5,318.5,465.2,399.4,4.64,290
Fixation,DadsArmy,L,1614245,1615729,1485,448.9,376.8,836,,,
Saccade,DadsArmy,L,1615730,1615768,39,424.6,360,640.6,299.4,5.43,266
Fixation,DadsArmy,L,1615769,1615979,211,632.5,302.3,854,,,
Saccade,DadsArmy,L,1615980,1616002,23,632,301,585.7,302.3,1.13,115
Fixation,DadsArmy,L,1616003,1616897,895,594,294.8,840,,,
Saccade,DadsArmy,L,1616898,1616908,11,601.6,285.3,627,279.8,0.63,67
Fixation,DadsArmy,L,1616909,1619522,2614,609.6,280.8,816,,,
Saccade,DadsArmy,L,1619523,1619560,38,599.4,273.4,371.7,361.4,5.87,290
Fixation,DadsArmy,L,1619561,1619772,212,380.1,364.8,825,,,
Saccade,DadsArmy,L,1619773,1619782,10,381.9,365.2,397.1,349.3,0.53,60
Fixation,DadsArmy,L,1619783,1620019,237,391.5,361.2,823,,,
Saccade,DadsArmy,L,1620020,1620050,31,390.4,369.3,572,285.8,4.81,324
Fixation,DadsArmy,L,1620051,1620985,935,572.4,300.6,812,,,
Saccade,DadsArmy,L,1620986,1621024,39,585.6,286.1,328.1,342.7,6.32,285
Fixation,DadsArmy,L,1621025,1621105,81,331.8,343.9,823,,,
Saccade,DadsArmy,L,1621106,1621276,171,331.1,352.3,368,317.9,1.2,637
Fixation,DadsArmy,L,1621277,1622402,1126,373.9,342.3,801,,,
Saccade,DadsArmy,L,1622403,1622463,61,369.6,342.3,843.3,249.7,11.65,393
Fixation,DadsArmy,L,1622464,1622748,285,860.7,254.1,803,,,
Saccade,DadsArmy,L,1622749,1622813,65,863,255.2,1413.8,645.1,16.03,479
Fixation,DadsArmy,L,1622814,1622986,173,1417.5,650.5,797,,,
Saccade,DadsArmy,L,1622987,1623011,25,1417.9,654.3,1286.9,625.1,3.11,247
Fixation,DadsArmy,L,1623012,1623270,259,1293.4,625.8,787,,,
Saccade,DadsArmy,L,1623271,1623356,86,1291.3,629.1,331,444.1,23.05,488
Fixation,DadsArmy,L,1623357,1623527,171,320.8,436.3,789,,,
Saccade,DadsArmy,L,1623528,1623552,25,327,429.2,376.6,344.5,2.35,187
Fixation,DadsArmy,L,1623553,1625765,2213,374.9,340.6,762,,,
Saccade,DadsArmy,L,1625766,1625804,39,376.4,338.4,608.1,289.6,5.7,272
Fixation,DadsArmy,L,1625805,1626368,564,603.8,286.2,805,,,
Saccade,DadsArmy,L,1626369,1626413,45,612.5,280.4,854.5,235.2,6.01,308
Fixation,DadsArmy,L,1626414,1626874,461,871.3,237.2,826,,,
Saccade,DadsArmy,L,1626875,1626896,22,888.6,255.8,933.5,294.6,1.45,128
Fixation,DadsArmy,L,1626897,1627329,433,931,286,826,,,
Saccade,DadsArmy,L,1627330,1627376,47,935.3,276.7,1092.2,673,10.32,485
Fixation,DadsArmy,L,1627377,1627634,258,1070.8,666.7,850,,,
Saccade,DadsArmy,L,1627635,1627658,24,1059.9,636.3,1038.6,549.1,2.18,153
Fixation,DadsArmy,L,1627659,1627879,221,1048.5,549.6,835,,,
Saccade,DadsArmy,L,1627880,1627906,27,1061.1,546.8,1154.1,592.6,2.5,207
Fixation,DadsArmy,L,1627907,1627980,74,1145.7,579,822,,,
Saccade,DadsArmy,L,1627981,1628035,55,1145.6,578.2,688.8,251.9,13.6,439
Fixation,DadsArmy,L,1628036,1628267,232,675.1,267.7,807,,,
Saccade,DadsArmy,L,1628268,1628330,63,672,269.4,1070,691.8,14.06,577
Fixation,DadsArmy,L,1628331,1628493,163,1072.5,695.1,825,,,
Saccade,DadsArmy,L,1628494,1628526,33,1070,690.7,917.3,694,3.7,276
Fixation,DadsArmy,L,1628527,1628676,150,919.3,675.6,792,,,
Saccade,DadsArmy,L,1628677,1628753,77,912,656.3,899.4,564.1,2.26,152
Fixation,DadsArmy,L,1628754,1628821,68,894.8,562.4,796,,,
Saccade,DadsArmy,L,1628822,1628892,71,896.1,563.3,891.9,562.5,0.1,162
Fixation,DadsArmy,L,1628893,1628923,31,897.9,569.3,785,,,
Saccade,DadsArmy,L,1628924,1628948,25,884.1,555.4,891.8,563.3,0.27,107
Fixation,DadsArmy,L,1628949,1629022,74,901.7,576.5,784,,,
Saccade,DadsArmy,L,1629023,1629034,12,903.8,585.6,897.9,571.9,0.36,64
Fixation,DadsArmy,L,1629035,1629080,46,902.7,571.8,793,,,
Saccade,DadsArmy,L,1629081,1629102,22,902,573.1,962.7,574.1,1.48,142
Fixation,DadsArmy,L,1629103,1629266,164,954.7,580.8,788,,,
Saccade,DadsArmy,L,1629267,1629788,522,950.7,574.7,936.8,546.5,0.77,1318
Fixation,DadsArmy,L,1629789,1631025,1237,893.7,520,774,,,
Saccade,DadsArmy,L,1631026,1631038,13,863.7,519.7,834,521.2,0.73,68
Fixation,DadsArmy,L,1631039,1631148,110,845,526,817,,,
