Fixation,Trial Name,Eye,Start Time,End Time,Duration,X,Y,Pupil Area,,,
Saccade,Trial Name,Eye,Start Time,End Time,Duration,Start X,Start Y,End X,End Y,Amplitude,Peak Velocity
Fixation,DadsArmy,R,9175051,9175265,215,827.5,575.1,2255,,,
Saccade,DadsArmy,R,9175266,9175322,57,830.5,569.6,792.2,190,9.28,245
Fixation,DadsArmy,R,9175323,9175528,206,785.4,180.5,1935,,,
Saccade,DadsArmy,R,9175529,9175588,60,784,182.5,779.6,599.2,10.13,393
Fixation,DadsArmy,R,9175589,9175875,287,768.4,616,1921,,,
Saccade,DadsArmy,R,9175876,9175904,29,761.6,619,623.1,668.2,3.59,257
Fixation,DadsArmy,R,9175905,9176048,144,640.6,655.9,2104,,,
Saccade,DadsArmy,R,9176049,9176085,37,639.4,651.2,663.1,423.9,5.57,266
Fixation,DadsArmy,R,9176086,9176320,235,659.6,435.6,2163,,,
Saccade,DadsArmy,R,9176321,9176334,14,656,434.4,629.7,401.4,1.03,97
Fixation,DadsArmy,R,9176335,9176924,590,608.5,403.1,2306,,,
Saccade,DadsArmy,R,9176925,9176940,16,578.2,405.8,569.3,423.4,0.48,62
Fixation,DadsArmy,R,9176941,9177165,225,575.4,412.7,2473,,,
Saccade,DadsArmy,R,9177166,9177182,17,577,406.7,559.3,410.5,0.44,63
Fixation,DadsArmy,R,9177183,9177457,275,574.1,406.3,2500,,,
Saccade,DadsArmy,R,9177458,9177474,17,578.5,395.6,532,409.2,1.18,108
Fixation,DadsArmy,R,9177475,9178282,808,490.1,388.2,2578,,,
Saccade,DadsArmy,R,9178283,9178320,38,469.6,375.9,631.6,417.2,4.06,359
Fixation,DadsArmy,R,9178321,9178815,495,645.7,410.1,2715,,,
Saccade,DadsArmy,R,9178816,9178833,18,656.5,409,599.9,421.9,1.42,121
Fixation,DadsArmy,R,9178834,9179214,381,615.1,406.8,2750,,,
Saccade,DadsArmy,R,9179215,9179329,115,627.2,415.9,654.3,397.6,0.8,726
Fixation,DadsArmy,R,9179330,9180087,758,676,391.1,2703,,,
Saccade,DadsArmy,R,9180088,9180111,24,690.3,379.7,801.3,329.9,2.98,249
Fixation,DadsArmy,R,9180112,9180768,657,842,338.4,2626,,,
Saccade,DadsArmy,R,9180769,9180799,31,912.3,354.1,967,416.6,2.03,175
Fixation,DadsArmy,R,9180800,9180979,180,1011.8,389.9,2656,,,
Saccade,DadsArmy,R,9180980,9180999,20,1055,370.9,1123,339.1,1.82,160
Fixation,DadsArmy,R,9181000,9181485,486,1201.2,347.2,2617,,,
Saccade,DadsArmy,R,9181486,9181532,47,1275.2,353.2,1010.9,483.2,7.08,273
Fixation,DadsArmy,R,9181533,9181737,205,1016.2,477.3,2748,,,
Saccade,DadsArmy,R,9181738,9181795,58,1008.9,482.5,545,375.7,11.58,350
Fixation,DadsArmy,R,9181796,9181951,156,559.4,380.8,2841,,,
Saccade,DadsArmy,R,9181952,9181984,33,553.3,383.9,392.4,357.7,3.93,233
Fixation,DadsArmy,R,9181985,9182931,947,495.8,366.8,2741,,,
Saccade,DadsArmy,R,9182932,9182993,62,645.1,360.7,795.2,834.3,12,343
Fixation,DadsArmy,R,9182994,9183291,298,804.1,827.1,2760,,,
Saccade,DadsArmy,R,9183292,9183347,56,813.5,828.1,880.7,360.7,11.41,326
Fixation,DadsArmy,R,9183348,9184032,685,938.9,354.4,2472,,,
Saccade,DadsArmy,R,9184033,9184052,20,967.9,329.7,913.2,314.8,1.39,129
Fixation,DadsArmy,R,9184053,9185094,1042,919.7,317.1,2478,,,
Saccade,DadsArmy,R,9185095,9185161,67,923.5,344.8,871.3,1024.9,16.18,400
Fixation,DadsArmy,R,9185162,9185721,560,880.8,1017.6,2721,,,
Saccade,DadsArmy,R,9185722,9185745,24,877.2,1017.8,992,1001.9,2.75,210
Fixation,DadsArmy,R,9185746,9185919,174,971.1,998.9,2711,,,
Saccade,DadsArmy,R,9185920,9186094,175,949.9,987.7,1006.4,768.1,5.35,500
Fixation,DadsArmy,R,9186095,9186353,259,1005.7,782.8,2804,,,
Saccade,DadsArmy,R,9186354,9186556,203,1011.6,788.9,1220.3,278.6,13.19,1278
Fixation,DadsArmy,R,9186557,9186747,191,1208.4,291.1,2599,,,
Saccade,DadsArmy,R,9186748,9186764,17,1188.6,292.9,1133.9,295.4,1.31,118
Fixation,DadsArmy,R,9186765,9187274,510,1099.3,295.8,2627,,,
Saccade,DadsArmy,R,9187275,9187316,42,1055.3,304,736,415.1,8.25,381
Fixation,DadsArmy,R,9187317,9187474,158,754.6,419.1,2753,,,
Saccade,DadsArmy,R,9187475,9187501,27,750,431.9,790.5,492.6,1.79,180
Fixation,DadsArmy,R,9187502,9187648,147,782.8,485.3,2465,,,
Saccade,DadsArmy,R,9187649,9187669,21,772.3,486.1,731.2,489.5,1.01,108
Fixation,DadsArmy,R,9187670,9188562,893,699.9,452.2,2456,,,
Saccade,DadsArmy,R,9188563,9188585,23,707.8,443.8,753.5,457.7,1.17,134
Fixation,DadsArmy,R,9188586,9188882,297,762.6,458.1,2633,,,
Saccade,DadsArmy,R,9188883,9188900,18,772.6,458,796.7,482.7,0.85,96
Fixation,DadsArmy,R,9188901,9189085,185,783.7,470.4,2684,,,
Saccade,DadsArmy,R,9189086,9189107,22,771.2,457.8,692.7,443.2,1.96,157
Fixation,DadsArmy,R,9189108,9189488,381,678.6,409.7,2703,,,
Saccade,DadsArmy,R,9189489,9189505,17,665.8,373.5,706.3,342.2,1.25,117
Fixation,DadsArmy,R,9189506,9189673,168,700.9,343.5,2681,,,
Saccade,DadsArmy,R,9189674,9189732,59,710.3,344.6,1093.2,794.9,14.27,455
Fixation,DadsArmy,R,9189733,9189891,159,1076.8,791.2,2701,,,
Saccade,DadsArmy,R,9189892,9189915,24,1076.3,797.9,1098.3,866.6,1.71,114
Fixation,DadsArmy,R,9189916,9190116,201,1093.6,849.3,2751,,,
Saccade,DadsArmy,R,9190117,9190170,54,1090.9,845.6,768.6,467.8,11.97,343
Fixation,DadsArmy,R,9190171,9190385,215,759.7,458.1,2772,,,
Saccade,DadsArmy,R,9190386,9190408,23,748.7,446.8,793.9,410,1.43,143
Fixation,DadsArmy,R,9190409,9190800,392,755.3,395.9,2743,,,
Saccade,DadsArmy,R,9190801,9190821,21,723.5,367,649.6,361.4,1.82,154
Fixation,DadsArmy,R,9190822,9191057,236,642.7,338.1,2791,,,
Saccade,DadsArmy,R,9191058,9191073,16,625.4,314,582.3,307.8,1.06,92
Fixation,DadsArmy,R,9191074,9191264,191,589.6,297.5,2776,,,
Saccade,DadsArmy,R,9191265,9191287,23,589.8,291,671,294.5,1.98,197
Fixation,DadsArmy,R,9191288,9191786,499,691.2,284.5,2709,,,
Saccade,DadsArmy,R,9191787,9191806,20,724.6,268.2,785.9,226.8,1.81,154
Fixation,DadsArmy,R,9191807,9192001,195,777.6,223.9,2715,,,
Saccade,DadsArmy,R,9192002,9192018,17,782.1,233.8,798.4,271.9,1.01,81
Fixation,DadsArmy,R,9192019,9192902,884,779.4,266.1,2856,,,
Saccade,DadsArmy,R,9192903,9192973,71,736.4,276.2,1130.6,754.9,14.96,373
Fixation,DadsArmy,R,9192974,9193176,203,1126.7,750.8,2977,,,
Saccade,DadsArmy,R,9193177,9193194,18,1123.6,757.7,1100,818.1,1.54,130
Fixation,DadsArmy,R,9193195,9193622,428,1092.3,806.6,2997,,,
