Fixation,Trial Name,Eye,Start Time,End Time,Duration,X,Y,Pupil Area,,,
Saccade,Trial Name,Eye,Start Time,End Time,Duration,Start X,Start Y,End X,End Y,Amplitude,Peak Velocity
Fixation,DadsArmy,L,7409761,7410246,486,788.7,617.4,2937,,,
Saccade,DadsArmy,L,7410247,7410276,30,793.5,620.3,854.3,527,2.72,189
Fixation,DadsArmy,L,7410277,7410651,375,843.7,548.5,2741,,,
Saccade,DadsArmy,L,7410652,7410706,55,846.1,546.1,686.5,457.1,4.48,362
Fixation,DadsArmy,L,7410707,7410944,238,671.7,447.1,3042,,,
Saccade,DadsArmy,L,7410945,7410970,26,678.3,445.6,642.7,356.3,2.35,187
Fixation,DadsArmy,L,7410971,7411737,767,631,391,3217,,,
Saccade,DadsArmy,L,7411738,7411762,25,625.5,397.9,564.7,356.6,1.79,179
Fixation,DadsArmy,L,7411763,7412289,527,593.3,370.5,3449,,,
Saccade,DadsArmy,L,7412290,7412324,35,591.2,365.9,536.7,356.6,1.35,185
Fixation,DadsArmy,L,7412325,7413061,737,484,378.7,3505,,,
Saccade,DadsArmy,L,7413062,7413099,38,476.1,395.2,628.7,377.1,3.73,304
Fixation,DadsArmy,L,7413100,7414132,1033,643.8,390.2,3718,,,
Saccade,DadsArmy,L,7414133,7414155,23,677,401.6,746.4,362,1.96,164
Fixation,DadsArmy,L,7414156,7414474,319,732.6,376.7,3789,,,
Saccade,DadsArmy,L,7414475,7414498,24,726.5,373.7,687.8,360.3,1,127
Fixation,DadsArmy,L,7414499,7414909,411,676.6,361.3,3712,,,
Saccade,DadsArmy,L,7414910,7414940,31,673.4,363.6,831.3,327,3.98,271
Fixation,DadsArmy,L,7414941,7415179,239,812.4,333.7,3680,,,
Saccade,DadsArmy,L,7415180,7415304,125,826.6,342.8,562.5,302.4,6.52,924
Fixation,DadsArmy,L,7415305,7415550,246,584.5,325,3689,,,
Saccade,DadsArmy,L,7415551,7415605,55,597,329.6,369.7,286.5,5.57,349
Fixation,DadsArmy,L,7415606,7417166,1561,388.1,317.5,3829,,,
Saccade,DadsArmy,L,7417167,7417242,76,457.4,370.5,633.1,858.5,12.43,372
Fixation,DadsArmy,L,7417243,7417445,203,644.2,907.1,4145,,,
Saccade,DadsArmy,L,7417446,7417476,31,644,917.8,810.7,998.1,4.41,324
Fixation,DadsArmy,L,7417477,7417812,336,781.5,998.6,4119,,,
Saccade,DadsArmy,L,7417813,7417884,72,778.8,1003.3,549.6,480,13.59,482
Fixation,DadsArmy,L,7417885,7418025,141,551.3,491.8,3844,,,
Saccade,DadsArmy,L,7418026,7418057,32,554.2,487.9,597.2,324.8,4.1,249
Fixation,DadsArmy,L,7418058,7418654,597,603.6,340.6,3525,,,
Saccade,DadsArmy,L,7418655,7418711,57,601.5,347.1,331,354.6,6.5,342
Fixation,DadsArmy,L,7418712,7419017,306,304.2,366.6,3686,,,
Saccade,DadsArmy,L,7419018,7419137,120,311,369.1,484.3,473.7,4.84,793
Fixation,DadsArmy,L,7419138,7419597,460,492.2,494.7,4001,,,
Saccade,DadsArmy,L,7419598,7419666,69,496.3,493.3,929.2,378.6,10.9,476
Fixation,DadsArmy,L,7419667,7420308,642,1000.1,399.1,3902,,,
Saccade,DadsArmy,L,7420309,7420372,64,1018.4,448.9,806.2,801.8,9.97,427
Fixation,DadsArmy,L,7420373,7420740,368,797,858.2,3948,,,
Saccade,DadsArmy,L,7420741,7420846,106,825.5,857.4,926.5,823.7,2.57,669
Fixation,DadsArmy,L,7420847,7421265,419,940.8,835.1,3998,,,
Saccade,DadsArmy,L,7421266,7421319,54,960.3,820.3,1062.1,679.7,4.17,312
Fixation,DadsArmy,L,7421320,7421679,360,1102.1,640.1,3771,,,
Saccade,DadsArmy,L,7421680,7421719,40,1135.6,632.3,1205,675.3,1.95,258
