Fixation,Trial Name,Eye,Start Time,End Time,Duration,X,Y,Pupil Area,,,
Saccade,Trial Name,Eye,Start Time,End Time,Duration,Start X,Start Y,End X,End Y,Amplitude,Peak Velocity
Fixation,DadsArmy,R,6322108,6322444,340,794,581.4,2950,,,
Saccade,DadsArmy,R,6322448,6322692,248,780.5,595.1,528,834.7,8.39,1610
Fixation,DadsArmy,R,6322696,6322756,64,531.1,806,3153,,,
Saccade,DadsArmy,R,6322760,6322816,60,530.2,802.6,711.6,1052.1,7.26,356
Fixation,DadsArmy,R,6322820,6322996,180,720.8,1060.6,3163,,,
Saccade,DadsArmy,R,6323000,6323056,60,727.7,1052.7,633.8,795,6.43,356
Fixation,DadsArmy,R,6323060,6323096,40,631.8,775.8,3173,,,
Saccade,DadsArmy,R,6323100,6323148,52,630.1,772.3,661.9,303.3,11.37,460
Fixation,DadsArmy,R,6323152,6323344,196,672.2,309.9,2965,,,
Saccade,DadsArmy,R,6323348,6323368,24,677.1,309.7,628,383.2,2.16,199
Fixation,DadsArmy,R,6323372,6323852,484,614.9,355.1,3061,,,
Saccade,DadsArmy,R,6323856,6323872,20,576.2,353,555.4,368.7,0.63,83
Fixation,DadsArmy,R,6323876,6324420,548,571.2,344.8,3141,,,
Saccade,DadsArmy,R,6324424,6324444,24,596.3,330.9,562.3,335.3,0.84,114
Fixation,DadsArmy,R,6324448,6324644,200,565.9,320.3,3159,,,
Saccade,DadsArmy,R,6324648,6324664,20,550.3,311.7,480.1,303.6,1.71,150
Fixation,DadsArmy,R,6324668,6324968,304,473.7,314.5,3187,,,
Saccade,DadsArmy,R,6324972,6324996,28,465.5,315.8,652.9,328.3,4.55,308
Fixation,DadsArmy,R,6325000,6325544,548,622.4,320.6,3181,,,
Saccade,DadsArmy,R,6325548,6325568,24,648.9,321.4,639.5,408.4,2.14,156
Fixation,DadsArmy,R,6325572,6325872,304,661.6,392.8,3251,,,
Saccade,DadsArmy,R,6325876,6325892,20,672.8,382.6,621.3,328.9,1.82,164
Fixation,DadsArmy,R,6325896,6326420,528,653.3,335.9,3251,,,
Saccade,DadsArmy,R,6326424,6326476,56,680.5,330.6,407.4,274.7,6.74,338
Fixation,DadsArmy,R,6326480,6326544,68,394.9,267.3,3289,,,
Saccade,DadsArmy,R,6326548,6326776,232,400.5,280.4,740.7,347.4,8.39,1887
Fixation,DadsArmy,R,6326780,6326944,168,742.5,342.3,3207,,,
Saccade,DadsArmy,R,6326948,6326968,24,735.5,340.5,661.9,346.3,1.81,186
Fixation,DadsArmy,R,6326972,6327168,200,673,333.3,3243,,,
Saccade,DadsArmy,R,6327172,6327196,28,673.7,329.4,878.5,306.9,5.05,338
Fixation,DadsArmy,R,6327200,6327540,344,868.8,310.7,3276,,,
Saccade,DadsArmy,R,6327544,6327592,52,891.1,309.1,623.8,291,6.55,415
Fixation,DadsArmy,R,6327596,6327812,220,611.8,287.6,3281,,,
Saccade,DadsArmy,R,6327816,6327860,48,613.3,285.3,394.7,267.7,5.28,355
Fixation,DadsArmy,R,6327864,6328008,148,380.3,257.5,3298,,,
Saccade,DadsArmy,R,6328012,6328052,44,381.9,257.5,597.3,292.5,5.25,423
Fixation,DadsArmy,R,6328056,6328284,232,608,300.1,3290,,,
Saccade,DadsArmy,R,6328288,6328480,196,609.7,311.2,369.2,259.2,5.92,1949
Fixation,DadsArmy,R,6328484,6328872,392,374,263.2,3351,,,
Saccade,DadsArmy,R,6328876,6328888,16,365.6,266.2,354.1,263.2,0.28,71
Fixation,DadsArmy,R,6328892,6329064,176,374.2,261.5,3356,,,
Saccade,DadsArmy,R,6329068,6329084,20,399.1,261.9,454.5,261.8,1.32,152
Fixation,DadsArmy,R,6329088,6329836,752,512.9,268.9,3349,,,
Saccade,DadsArmy,R,6329840,6329848,12,637.1,284.2,662.6,286,0.62,78
Fixation,DadsArmy,R,6329852,6330196,348,750.9,294.6,3370,,,
Saccade,DadsArmy,R,6330200,6330216,20,840,301.8,906.3,308.8,1.63,145
Fixation,DadsArmy,R,6330220,6330804,588,974.2,292.6,3384,,,
Saccade,DadsArmy,R,6330808,6330820,16,1034.1,279.5,1024.9,290.8,0.35,73
Fixation,DadsArmy,R,6330824,6331000,180,1042.9,276.9,3391,,,
