Fixation,Trial Name,Eye,Start Time,End Time,Duration,X,Y,Pupil Area,,,
Saccade,Trial Name,Eye,Start Time,End Time,Duration,Start X,Start Y,End X,End Y,Amplitude,Peak Velocity
Fixation,DadsArmy,R,9472700,9472971,272,755.4,586.3,1387,,,
Saccade,DadsArmy,R,9472972,9472987,16,761.2,584.4,716.9,570,1.14,112
Fixation,DadsArmy,R,9472988,9473218,231,727,562.6,1438,,,
Saccade,DadsArmy,R,9473219,9473265,47,727.3,563,604.5,706.4,4.59,351
Fixation,DadsArmy,R,9473266,9473442,177,592.1,724.6,1399,,,
Saccade,DadsArmy,R,9473443,9473487,45,587.2,726.9,644.9,465.7,6.49,279
Fixation,DadsArmy,R,9473488,9473675,188,645.3,473.1,1522,,,
Saccade,DadsArmy,R,9473676,9473700,25,644.2,473.5,617.3,368.3,2.65,180
Fixation,DadsArmy,R,9473701,9474019,319,627.4,379.8,1661,,,
Saccade,DadsArmy,R,9474020,9474050,31,635.9,387,603.1,389.1,0.8,144
Fixation,DadsArmy,R,9474051,9474526,476,564.3,393.6,1812,,,
Saccade,DadsArmy,R,9474527,9474546,20,540.9,389.3,531,394.6,0.27,63
Fixation,DadsArmy,R,9474547,9475076,530,547.8,386.6,1928,,,
Saccade,DadsArmy,R,9475077,9475097,21,557.4,378.6,526.8,373.5,0.75,100
Fixation,DadsArmy,R,9475098,9475596,499,485.7,371.7,1932,,,
Saccade,DadsArmy,R,9475597,9475633,37,451.4,372.2,537.4,364,2.09,211
Fixation,DadsArmy,R,9475634,9475925,292,540.9,367.7,1902,,,
Saccade,DadsArmy,R,9475926,9475961,36,538.9,365,615.5,387,1.94,245
Fixation,DadsArmy,R,9475962,9476417,456,649.5,394.7,1992,,,
Saccade,DadsArmy,R,9476418,9476440,23,654.9,404.9,609.8,414.4,1.13,124
Fixation,DadsArmy,R,9476441,9476752,312,603.4,407.8,2109,,,
Saccade,DadsArmy,R,9476753,9476761,9,602.1,406.6,610.3,394.7,0.35,45
Fixation,DadsArmy,R,9476762,9476990,229,613.4,394.5,2126,,,
Saccade,DadsArmy,R,9476991,9477047,57,621.7,394.8,388.5,346.4,5.75,231
Fixation,DadsArmy,R,9477048,9477259,212,368.4,349.4,2106,,,
Saccade,DadsArmy,R,9477260,9477312,53,367.3,350.9,615.6,380.9,6.03,347
Fixation,DadsArmy,R,9477313,9477743,431,623.4,388,2158,,,
Saccade,DadsArmy,R,9477744,9477770,27,620.9,389.1,755,348.3,3.43,236
Fixation,DadsArmy,R,9477771,9478185,415,768.5,356.6,2174,,,
Saccade,DadsArmy,R,9478186,9478239,54,786.2,357,554.7,351.6,5.65,316
Fixation,DadsArmy,R,9478240,9478454,215,539.9,354.4,2207,,,
Saccade,DadsArmy,R,9478455,9478508,54,544.9,354.4,318.1,274.3,5.75,328
