Fixation,Trial Name,Eye,Start Time,End Time,Duration,X,Y,Pupil Area,,,
Saccade,Trial Name,Eye,Start Time,End Time,Duration,Start X,Start Y,End X,End Y,Amplitude,Peak Velocity
Fixation,DadsArmy,L,7304483,7305242,760,760.9,685.3,2429,,,
Saccade,DadsArmy,L,7305243,7305468,226,749.3,689.3,664.9,602.9,2.94,1066
Fixation,DadsArmy,L,7305469,7305849,381,656.2,606.8,2544,,,
Saccade,DadsArmy,L,7305850,7306010,161,646.9,599.9,591.8,428.9,4.38,1414
Fixation,DadsArmy,L,7306011,7306378,368,602.6,409.6,2554,,,
Saccade,DadsArmy,L,7306379,7306402,24,590.9,399.5,569.7,427.8,0.86,116
Fixation,DadsArmy,L,7306403,7306596,194,576,431.5,2609,,,
Saccade,DadsArmy,L,7306597,7306805,209,570.9,452.7,575.1,421.3,0.77,1331
Fixation,DadsArmy,L,7306806,7307077,272,594.7,427,2683,,,
Saccade,DadsArmy,L,7307078,7307102,25,589.9,421.2,517,410.1,1.79,150
Fixation,DadsArmy,L,7307103,7307319,217,520.4,405,2705,,,
Saccade,DadsArmy,L,7307320,7307534,215,502.8,413.5,522.7,443.8,0.88,1235
Fixation,DadsArmy,L,7307535,7307743,209,533.2,410.9,2689,,,
Saccade,DadsArmy,L,7307744,7307788,45,531.2,406,432.8,372.7,2.51,206
Fixation,DadsArmy,L,7307789,7307986,198,410.8,354.8,2710,,,
Saccade,DadsArmy,L,7307987,7308042,56,399.1,354,229.3,392.2,4.1,220
Fixation,DadsArmy,L,7308043,7308305,263,200.1,404.6,2768,,,
Saccade,DadsArmy,L,7308306,7308359,54,197.6,410.6,340.8,420.6,3.35,253
Fixation,DadsArmy,L,7308360,7308407,48,370.4,415.5,2804,,,
Saccade,DadsArmy,L,7308408,7308610,203,368.3,404.2,594.3,496.6,5.88,1365
Fixation,DadsArmy,L,7308611,7308910,300,606.2,433.7,2720,,,
Saccade,DadsArmy,L,7308911,7308932,22,614.5,432.3,665.9,384.4,1.72,144
Fixation,DadsArmy,L,7308933,7309098,166,667.8,391.2,2716,,,
Saccade,DadsArmy,L,7309099,7309308,210,669.8,396.6,683.3,406.2,0.41,1346
Fixation,DadsArmy,L,7309309,7309578,270,685.9,366.1,2737,,,
